name,airport_code
Kuusamo Airport,KAO
Kuwait International Airport,KWI
Kyiv Zhuliany International Airport,IEV
L.F. Wade International Airport,BDA
La Aurora International Airport,GUA
La Chinita International Airport,MAR
La Palma Airport,SPC
La Romana International Airport,LRM
La Tontouta International Airport,NOU
LaGuardia Airport,LGA
Lal Bahadur Shastri International Airport,VNS
Lambert-Saint Louis International Airport,STL
Lamezia Terme Airport,SUF
Langenhagen Airport,HAJ
Langkawi International Airport,LGK
Lankaran International Airport,LLK
Lanseria International Airport,HLA
Lanzarote Airport,ACE
Lanzhou Zhongchuan International Airport,LHW
Laoag International Airport,LAO
Lappeenranta Airport,LPP
Larnaca International Airport,LCA
Las Americas International Airport,SDQ
Leeds Bradford International Airport,LBA
Leipzig/Halle Airport,LEJ
Lengpui Airport,AJL
Lennart Meri Tallinn Airport,TLL
Leon M'ba International Airport,LBV
Leonardo da Vinci-Fiumicino Airport,FCO
Leopold Sedar Senghor International Airport,DKR
Leos Janacek Ostrava Airport,OSR
Lhasa Gonggar Airport,LXA
Lic. Adolfo Lopez Mateos International Airport,TLC
Lic. Gustavo Diaz Ordaz International Airport,PVR
Lic. Jesus Teran Peredo International Airport,AGU
Liege Airport,LGG
Lille Lesquin Airport,LIL
Lilongwe International Airport,LLW
Linate Airport,LIN
Linz Airport,LNZ
Lisbon Portela Airport,LIS
Liuzhou Bailian Airport,LZH
Liverpool John Lennon Airport,LPL
Ljubljana Joze Pucnik Airport,LJU
Llabanere Airport,PGF
Lodz Wladyslaw Reymont Airport,LCJ
Logan International Airport,BOS
Lokpriya Gopinath Bordoloi International Airport,GAU
Lombok International Airport,LOP
London City Airport,LCY
Loreto International Airport,LTO
Los Angeles International Airport,LAX
Los Cabos International Airport,SJD
Louis Armstrong New Orleans International Airport,MSY
Louisville International Airport,SDF
Luang Prabang International Airport,LPQ
Lubango Airport,SSD
Lubeck Airport,LBC
Lublin Airport,LUZ
Lubumbashi International Airport,FBM
Luhansk International Airport,VSG
Luis Munoz Marin International Airport,SJU
Lulea Airport,LLA
Lungi International Airport,FNA
Luoyang Beijiao Airport,LYA
Luton Airport,LTN
Luxor International Airport,LXR
Lviv Danylo Halytskyi International Airport,LWO
Lynden Pindling International Airport,NAS
M. R. Stefanik Airport,BTS
M'Poko International Airport,BGF
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Maastricht-Aachen Airport,MST
Macau International Airport,MFM
Mactan-Cebu International Airport,CEB
Madeira Airport,FNC
Madrid-Barajas Airport,MAD
Madurai International Airport,IXM
Mae Fah Luang International Airport,CEI
Magnitogorsk International Airport,MQF
Malabo International Airport,SSG
Malaga Airport,AGP
Mallam Aminu Kano International Airport,KAN
Malmo Airport,MMX
Malpensa Airport,MXP
Malta International Airport,MLA
Manas Airport,FRU
Manchester Airport,MAN
Mandalay International Airport,MDL
Mangalore International Airport,IXE
Manuel Crescencio Rejon International Airport,MID
Maputo International Airport,MPM
Marcillac Airport,RDZ
Marechal Cunha Machado International Airport,SLZ
Marechal Rondon International Airport,CGB
Margaret Ekpo International Airport,CBQ
Maria Montez International Airport,BRX
Mariehamn Airport (Aland),MHQ
Mariscal Lamar International Airport,CUE
Mariscal Sucre International Airport,UIO
Marrakech-Menara Airport,RAK
Marsa Alam International Airport,RMF
Marsh Harbor International Airport,MHH
Marshall Islands International Airport,MAJ
Martinique Aime Cesaire International Airport,FDF
Mary International Airport,MYP
Mashhad International Airport,MHD
Mataveri International Airport,IPC
Matecana International Airport,PEI
Mattala Rajapaksa International Airport,HRi
Maun Airport,MUB
Maurice Bishop International Airport,GND
Maya-Maya Airport,BZV
Mazar-e Sharif International Airport,MZR
McCarran International Airport,LAS
Mehrabad International Airport,THR
Melbourne Airport,MEL
Melbourne International Airport,MLB
Melville Hall Airport,DOM
Memmingen Airport,FMM
Memphis International Airport,MEM
Menorca Airport,MAH
Merignac Airport,BOD
Mersa Matruh Airport,MUH
Metropolitan Oakland International Airport,OAK
Mexico City International Airport,MEX
Miami International Airport,MIA
Mianyang Nanjiao Airport,MIG
Mihail Kogalniceanu International Airport,CND
Milas-Bodrum Airport,BJV
Minangkabau International Airport,PDG
Mineralnye Vody Airport,MRV
Ministro Pistarini International Airport,EZE
Minneapolis-Saint Paul International Airport,MSP
Minsk International Airport,MSQ
Mitiga International Airport,MJI
Modlin Airport,WMI
Mohamed Boudiaf Airport,CZL
Mohammed V International Airport,CMN
Moi International Airport,MBA
Monsenor Oscar Arnulfo Romero International Airport,SAL
Montreal-Mirabel International Airport,YMX
Montreal-Pierre Elliott Trudeau International Airport,YUL
Mopa Airport,MGI
Moshoeshoe I International Airport,MSU
Moss Airport,RYG
Mostar International Airport,OMO
Mosul International Airport,OSM
Muan International Airport,MWX
Mudanjiang Airport,MDG
Multan International Airport,MUX
Mundo Maya International Airport,FRS
Munich Airport,MUC
Murcia-San Javier Airport,MJV
Murmansk Airport,MMK
Murtala Mohammed International Airport,LOS
Muscat International Airport,MCT
Mutiara Airport,PLW
Mykolaiv International Airport,NLV
Mykonos Island National Airport,JMK
Myrtle Beach International Airport,MYR
Mysore International Airport,MYQ
Mytilene International Airport,MJT
N'Djamena International Airport,NDJ
N'djili Airport,FIH
Nadi International Airport,NAN
Nador International Airport,NDR
Nagasaki Airport,NGS
Nakhchivan Airport,NAJ
Nalchik Airport,NAL
Namangan Airport,NMA
Nampula Airport,APL
Nanchang Changbei International Airport,KHN
Nandamuri Taraka Rama Rao-Amaravati International Airport,VGA
Nanjing Lukou International Airport,NKG
Nanning Wuxu International Airport,NNG
Nantes Atlantique Airport,NTE
Nantong Xingdong Airport,NTG
Narimanovo Airport,ASF
Narita International Airport,NRT
Narsarsuaq Airport,UAK
Nashville International Airport,BNA
Nauru International Airport,INU
Nausori International Airport,SUV
Naypyidaw Airport,NYT
Nea Anchialos National Airport,VOL
Nefta International Airport,TOE
Nelson Mandela International Airport,RAI
Netaji Subhash Chandra Bose International Airport,CCU
New Chitose Airport,CTS
New Kitakyushu Airport,KKJ
Newark Liberty International Airport,EWR
Newcastle Airport,NCL
Newquay Cornwall Airport,NQY
Ngurah Rai International Airport,DPS
Niigata Airport,KIJ
Ningbo Lishe International Airport,NGB
Ninoy Aquino International Airport,MNL
Nis Constantine the Great Airport,INI
Niue International Airport,IUE
Nizhnevartovsk Airport,NJC
Nnamdi Azikiwe International Airport,ABV
Noi Bai International Airport,HAN
Norfolk Airport,NLK
Norman Manley International Airport,KIN
Norrkoping Airport,NRK
North Front Airport,GIB
Northwest Florida Beaches International Airport,ECP
Norwich International Airport,NWI
Nouadhibou International Airport,NDB
Nouakchott-Oumtounsynnn International Airport,NKC
Nsimalen Airport,NSI
Nuuk Airport,GOH
O.R.Tambo International Airport,JNB
O'Hare International Airport,ORD
Odessa International Airport,ODS
Oguzeli Airport,GZT
Ohrid St. Paul the Apostle Airport,OHD
Oita Airport,OIT
Okayama Airport,OKJ
Omsk Tsentralny Airport,OMS
Ontario International Airport,ONT
OR Tambo International Airport,KMP
Oradea International Airport,OMR
Oral Ak Zhol Airport,URA
Oran Es Senia Airport,ORN
Orenburg Tsentralny Airport,REN
Orio al Serio Airport,BGY
Orlando International Airport,MCO
Orlando Sanford International Airport,SFB
Orly Airport,ORY
Orsk Airport,OSW
Osh Airport,OSS
Osijek Airport,OSI
Oslo Airport-Gardermoen,OSL
Osmani International Airport,ZYL
Ostend-Bruges International Airport,OST
